Group,Mean-value
Big,0.5312608900885933
Small,0.5281031470507002
Business,0.5385297448971332
Library,0.5137032706194963
Utility,0.5304757118798219
Multimedia,0.5360193468821355
Diverse,0.5284205875359476
Non-diverse,0.5711857606656849
