Group1,Group2,P-vlaue
Big,Small,0.2670376731424682
Business,Library,0.0019782282810991967
Business,Utility,0.19139682665518765
Business,Multimedia,0.454254497485142
Library,Utility,0.08905317803236601
Library,Multimedia,0.01623354882765659
Utility,Multimedia,0.5793713557094966
Diverse,Non-diverse,0.6662557587341433
