Group,Mean-value
Big,0.5276033869156471
Small,0.5163874072428697
Business,0.5236253877289784
Library,0.5188134015179597
Utility,0.5145920045673847
Multimedia,0.5309507945027107
Diverse,0.5293396678753197
Diverse,0.5293396678753197
Non-diverse,0.5543645615689456
