Group1,Group2,P-vlaue
Big,Small,0.022945652804369006
Business,Library,0.8210932005290991
Business,Utility,0.11532330514134405
Business,Multimedia,0.4248229582099623
Library,Utility,0.20332600881459495
Library,Multimedia,0.3084403674998859
Utility,Multimedia,0.021456770269621228
Diverse,Non-diverse,0.3273998686306533
