Predictor,Target,Accuracy
activiti_BB.csv,agrona_US.csv,0.5129310344827587
activiti_BB.csv,androidmaps_US.csv,0.4112903225806452
activiti_BB.csv,antennapod_MB.csv,0.5214285714285715
activiti_BB.csv,blaze_LB.csv,0.5970864098982239
activiti_BB.csv,commons_UB.csv,0.5568862275449101
activiti_BB.csv,daqeclipse_LB.csv,0.7192982456140351
activiti_BB.csv,dependencycheck_US.csv,0.6532066508313539
activiti_BB.csv,ebean_LB.csv,0.5915317559153176
activiti_BB.csv,exoplayer_MB.csv,0.44231738035264484
activiti_BB.csv,facebooksdk_BB.csv,0.49758194519075766
activiti_BB.csv,flowable_LB.csv,0.513287942016253
activiti_BB.csv,googleauth_LS.csv,0.36909871244635195
activiti_BB.csv,gsyvideoplayer_MS.csv,0.539543057996485
activiti_BB.csv,jabref_UB.csv,0.46399345335515546
activiti_BB.csv,javacv_MS.csv,0.4782608695652174
activiti_BB.csv,jbpm_BB.csv,0.5365853658536586
activiti_BB.csv,jmock_LS.csv,0.5753176043557169
activiti_BB.csv,k9_UB.csv,0.5084745762711864
activiti_BB.csv,metadata_MS.csv,0.6122881355932204
activiti_BB.csv,mindustry_MB.csv,0.3552941176470588
activiti_BB.csv,modernmt_BS.csv,0.6729559748427673
activiti_BB.csv,osmdroid_MB.csv,0.5074152542372882
activiti_BB.csv,phonograph_MS.csv,0.477088948787062
activiti_BB.csv,pipeline_US.csv,0.7048192771084337
activiti_BB.csv,qlexpress_BS.csv,0.8
activiti_BB.csv,rxjava_LB.csv,0.0983791280228829
activiti_BB.csv,seedstack_BS.csv,0.797962648556876
activiti_BB.csv,sentinel_UB.csv,0.7131079967023908
activiti_BB.csv,snowflake_US.csv,0.63718820861678
activiti_BB.csv,spark_BB.csv,0.35401069518716577
activiti_BB.csv,springdock_LS.csv,0.03915237134207871
activiti_BB.csv,stroom_BB.csv,0.503656522764803
activiti_BB.csv,sudachi_BS.csv,0.664179104477612
activiti_BB.csv,talon_UB.csv,0.4082089552238806
activiti_BB.csv,tessera_BS.csv,0.7608200455580866
activiti_BB.csv,thumbnailator_LS.csv,0.5517241379310345
activiti_BB.csv,vinyl_MS.csv,0.48148148148148145
activiti_BB.csv,yue_LS.csv,0.8920454545454546
activiti_BB.csv,zxing_MB.csv,0.5823665893271461
agrona_US.csv,activiti_BB.csv,0.595835557928457
agrona_US.csv,androidmaps_US.csv,0.6693548387096774
agrona_US.csv,antennapod_MB.csv,0.5482142857142858
agrona_US.csv,blaze_LB.csv,0.5845140690480942
agrona_US.csv,commons_UB.csv,0.6598802395209581
agrona_US.csv,daqeclipse_LB.csv,0.2562929061784897
agrona_US.csv,dependencycheck_US.csv,0.5463182897862233
agrona_US.csv,ebean_LB.csv,0.5034246575342466
agrona_US.csv,exoplayer_MB.csv,0.5974811083123426
agrona_US.csv,facebooksdk_BB.csv,0.4489521762493283
agrona_US.csv,flowable_LB.csv,0.5923566878980892
agrona_US.csv,googleauth_LS.csv,0.6180257510729614
agrona_US.csv,gsyvideoplayer_MS.csv,0.5096660808435852
agrona_US.csv,jabref_UB.csv,0.6636661211129297
agrona_US.csv,javacv_MS.csv,0.4409937888198758
agrona_US.csv,jbpm_BB.csv,0.36585365853658536
agrona_US.csv,jmock_LS.csv,0.5281306715063521
agrona_US.csv,k9_UB.csv,0.5412429378531074
agrona_US.csv,metadata_MS.csv,0.5042372881355932
agrona_US.csv,mindustry_MB.csv,0.6882352941176471
agrona_US.csv,modernmt_BS.csv,0.39622641509433965
agrona_US.csv,osmdroid_MB.csv,0.6716101694915254
agrona_US.csv,phonograph_MS.csv,0.7008086253369272
agrona_US.csv,pipeline_US.csv,0.3132530120481928
agrona_US.csv,qlexpress_BS.csv,0.47586206896551725
agrona_US.csv,rxjava_LB.csv,0.9294443962901967
agrona_US.csv,seedstack_BS.csv,0.46519524617996605
agrona_US.csv,sentinel_UB.csv,0.38499587798845836
agrona_US.csv,snowflake_US.csv,0.42857142857142855
agrona_US.csv,spark_BB.csv,0.8363636363636363
agrona_US.csv,springdock_LS.csv,0.5021190716448032
agrona_US.csv,stroom_BB.csv,0.5751356451993395
agrona_US.csv,sudachi_BS.csv,0.5970149253731343
agrona_US.csv,talon_UB.csv,0.7507462686567165
agrona_US.csv,tessera_BS.csv,0.4624145785876993
agrona_US.csv,thumbnailator_LS.csv,0.47701149425287354
agrona_US.csv,vinyl_MS.csv,0.671957671957672
agrona_US.csv,yue_LS.csv,0.4602272727272727
agrona_US.csv,zxing_MB.csv,0.5916473317865429
androidmaps_US.csv,activiti_BB.csv,0.6075814201815269
androidmaps_US.csv,agrona_US.csv,0.5
androidmaps_US.csv,antennapod_MB.csv,0.5107142857142857
androidmaps_US.csv,blaze_LB.csv,0.5916982638195969
androidmaps_US.csv,commons_UB.csv,0.5197604790419161
androidmaps_US.csv,daqeclipse_LB.csv,0.7334096109839817
androidmaps_US.csv,dependencycheck_US.csv,0.6484560570071259
androidmaps_US.csv,ebean_LB.csv,0.5949564134495642
androidmaps_US.csv,exoplayer_MB.csv,0.418639798488665
androidmaps_US.csv,facebooksdk_BB.csv,0.49785061794734015
androidmaps_US.csv,flowable_LB.csv,0.5148253898528443
androidmaps_US.csv,googleauth_LS.csv,0.3776824034334764
androidmaps_US.csv,gsyvideoplayer_MS.csv,0.5413005272407733
androidmaps_US.csv,jabref_UB.csv,0.44762684124386254
androidmaps_US.csv,javacv_MS.csv,0.45962732919254656
androidmaps_US.csv,jbpm_BB.csv,0.5365853658536586
androidmaps_US.csv,jmock_LS.csv,0.5680580762250453
androidmaps_US.csv,k9_UB.csv,0.5016949152542373
androidmaps_US.csv,metadata_MS.csv,0.6483050847457628
androidmaps_US.csv,mindustry_MB.csv,0.19058823529411764
androidmaps_US.csv,modernmt_BS.csv,0.710691823899371
androidmaps_US.csv,osmdroid_MB.csv,0.5127118644067796
androidmaps_US.csv,phonograph_MS.csv,0.4636118598382749
androidmaps_US.csv,pipeline_US.csv,0.7620481927710844
androidmaps_US.csv,qlexpress_BS.csv,0.7379310344827587
androidmaps_US.csv,rxjava_LB.csv,0.09274508104359885
