Predictor,Target,Accuracy
activiti_BB.csv,agrona_US.csv,0.5991379310344828
activiti_BB.csv,androidmaps_US.csv,0.6612903225806451
activiti_BB.csv,antennapod_MB.csv,0.55
activiti_BB.csv,blaze_LB.csv,0.6072640191578528
activiti_BB.csv,commons_UB.csv,0.6646706586826348
activiti_BB.csv,daqeclipse_LB.csv,0.3688024408848207
activiti_BB.csv,dependencycheck_US.csv,0.5795724465558195
activiti_BB.csv,ebean_LB.csv,0.4806973848069738
activiti_BB.csv,exoplayer_MB.csv,0.6045340050377834
activiti_BB.csv,facebooksdk_BB.csv,0.4193981730252552
activiti_BB.csv,flowable_LB.csv,0.6066329892378651
activiti_BB.csv,googleauth_LS.csv,0.5836909871244635
activiti_BB.csv,gsyvideoplayer_MS.csv,0.5500878734622144
activiti_BB.csv,jabref_UB.csv,0.5908346972176759
activiti_BB.csv,javacv_MS.csv,0.4906832298136646
activiti_BB.csv,jbpm_BB.csv,0.5365853658536586
activiti_BB.csv,jmock_LS.csv,0.5862068965517241
activiti_BB.csv,k9_UB.csv,0.5457627118644067
activiti_BB.csv,metadata_MS.csv,0.5169491525423728
activiti_BB.csv,mindustry_MB.csv,0.6994117647058824
activiti_BB.csv,modernmt_BS.csv,0.5094339622641509
activiti_BB.csv,osmdroid_MB.csv,0.6557203389830508
activiti_BB.csv,phonograph_MS.csv,0.6442048517520216
activiti_BB.csv,pipeline_US.csv,0.46987951807228917
activiti_BB.csv,qlexpress_BS.csv,0.5655172413793104
activiti_BB.csv,rxjava_LB.csv,0.6053566785126115
activiti_BB.csv,seedstack_BS.csv,0.5925297113752123
activiti_BB.csv,sentinel_UB.csv,0.49546578730420443
activiti_BB.csv,snowflake_US.csv,0.4376417233560091
activiti_BB.csv,spark_BB.csv,0.6770053475935829
activiti_BB.csv,springdock_ls.csv,0.4328960645812311
activiti_BB.csv,stroom_BB.csv,0.5628686010851616
activiti_BB.csv,sudachi_BS.csv,0.664179104477612
activiti_BB.csv,talon_UB.csv,0.6514925373134328
activiti_BB.csv,tessera_BS.csv,0.6150341685649203
activiti_BB.csv,thumbnailator_LS.csv,0.4885057471264368
activiti_BB.csv,vinyl_MS.csv,0.6587301587301587
activiti_BB.csv,yue_LS.csv,0.6306818181818182
