javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
ExpandableArrayBufferTest.java,org.agrona.ExpandableArrayBufferTest,6,4,17,15,0,4,0,2.000000000000000,94,0.000000000000000,0,0.000000000000000,0.611100000000000,0,0,14.666700000000000,false
ExpandableDirectByteBufferTest.java,org.agrona.ExpandableDirectByteBufferTest,6,4,17,15,0,4,0,2.000000000000000,94,0.000000000000000,0,0.000000000000000,0.611100000000000,0,0,14.666700000000000,false
PrintBufferUtilTest.java,org.agrona.PrintBufferUtilTest,2,6,10,1,0,6,2,2.000000000000000,29,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,13.500000000000000,false
ReferencesTest.java,org.agrona.ReferencesTest,3,2,12,3,0,2,3,2.000000000000000,46,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,14.333300000000000,false
UnsafeAccessTest.java,org.agrona.UnsafeAccessTest,3,2,6,3,0,2,0,2.000000000000000,12,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
ArrayUtilTest.java,org.agrona.collections.ArrayUtilTest,6,2,11,0,0,2,5,0.400000000000000,91,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,13.500000000000000,false
BiInt2ObjectMapTest.java,org.agrona.collections.BiInt2ObjectMapTest$EntryCapture,3,0,6,0,0,0,3,0.000000000000000,71,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,21.666700000000000,false
ConformanceTestsSuite.java,org.agrona.collections.ConformanceTestsSuite,1,0,2,0,0,0,1,2.000000000000000,4,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,true
Int2IntHashMapConformanceTest.java,org.agrona.collections.Int2IntHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,111,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.090900000000000,true
Int2IntHashMapConformanceTest.java,org.agrona.collections.Int2IntHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Int2IntHashMapConformanceTest.java,org.agrona.collections.Int2IntHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,38,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,11.666700000000000,true
Int2IntHashMapNotAvoidingAllocationTest.java,org.agrona.collections.Int2IntHashMapNotAvoidingAllocationTest,6,9,18,0,0,9,5,2.000000000000000,78,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,12.000000000000000,true
Int2NullableObjectHashMapConformanceTest.java,org.agrona.collections.Int2NullableObjectHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,110,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.000000000000000,true
Int2NullableObjectHashMapConformanceTest.java,org.agrona.collections.Int2NullableObjectHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Int2NullableObjectHashMapConformanceTest.java,org.agrona.collections.Int2NullableObjectHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,42,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,13.000000000000000,true
Int2ObjectHashMapConformanceTest.java,org.agrona.collections.Int2ObjectHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,110,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.000000000000000,true
Int2ObjectHashMapConformanceTest.java,org.agrona.collections.Int2ObjectHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Int2ObjectHashMapConformanceTest.java,org.agrona.collections.Int2ObjectHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,38,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,11.666700000000000,true
Int2ObjectHashMapNotAvoidingAllocationTest.java,org.agrona.collections.Int2ObjectHashMapNotAvoidingAllocationTest,6,9,18,3,0,9,5,2.000000000000000,75,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,11.500000000000000,true
Int2ObjectHashMapTest.java,org.agrona.collections.Int2ObjectHashMapTest$1,4,2,5,0,0,2,0,0.500000000000000,37,0.500000000000000,0,0.000000000000000,0.666700000000000,0,0,7.750000000000000,true
Long2LongHashMapConformanceTest.java,org.agrona.collections.Long2LongHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,111,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.090900000000000,true
Long2LongHashMapConformanceTest.java,org.agrona.collections.Long2LongHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Long2LongHashMapConformanceTest.java,org.agrona.collections.Long2LongHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,38,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,11.666700000000000,true
Long2NullableObjectHashMapConformanceTest.java,org.agrona.collections.Long2NullableObjectHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,110,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.000000000000000,true
Long2NullableObjectHashMapConformanceTest.java,org.agrona.collections.Long2NullableObjectHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Long2NullableObjectHashMapConformanceTest.java,org.agrona.collections.Long2NullableObjectHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,42,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,13.000000000000000,true
Long2ObjectHashMapConformanceTest.java,org.agrona.collections.Long2ObjectHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,110,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.000000000000000,true
Long2ObjectHashMapConformanceTest.java,org.agrona.collections.Long2ObjectHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Long2ObjectHashMapConformanceTest.java,org.agrona.collections.Long2ObjectHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,38,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,11.666700000000000,true
Object2IntHashMapConformanceTest.java,org.agrona.collections.Object2IntHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,111,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.090900000000000,true
Object2IntHashMapConformanceTest.java,org.agrona.collections.Object2IntHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Object2IntHashMapConformanceTest.java,org.agrona.collections.Object2IntHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,38,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,11.666700000000000,true
Object2IntHashMapNotAvoidingAllocationTest.java,org.agrona.collections.Object2IntHashMapNotAvoidingAllocationTest,6,9,18,3,0,9,5,2.000000000000000,76,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,11.666700000000000,true
Object2IntHashMapTest.java,org.agrona.collections.Object2IntHashMapTest$ControlledHash,5,0,8,0,0,0,4,0.000000000000000,72,1.000000000000000,0,0.000000000000000,0.350000000000000,0,0,13.200000000000000,true
Object2IntHashMapTest.java,org.agrona.collections.Object2IntHashMapTest,24,15,79,36,0,15,21,0.695700000000000,1074,0.000000000000000,0,0.000000000000000,0.281300000000000,0,0,43.666700000000000,true
Object2LongHashMapConformanceTest.java,org.agrona.collections.Object2LongHashMapConformanceTest$1,11,4,15,55,0,4,10,2.000000000000000,111,0.000000000000000,0,0.000000000000000,0.454500000000000,0,0,9.090900000000000,true
Object2LongHashMapConformanceTest.java,org.agrona.collections.Object2LongHashMapConformanceTest$2,1,3,3,0,0,3,0,2.000000000000000,13,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.000000000000000,true
Object2LongHashMapConformanceTest.java,org.agrona.collections.Object2LongHashMapConformanceTest,3,10,10,3,0,10,2,2.000000000000000,38,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,11.666700000000000,true
