Group,Mean-value
Big,0.5376956459370633
Small,0.5294766101413049
Business,0.5426994155423763
Library,0.5187907725572586
Utility,0.532939064502119
Multimedia,0.5399152595549822
Diverse,0.5241477400995791
Non-diverse,0.5209022769704461
