Group,Mean-value
Big,0.5089758460778587
Small,0.5002617544919933
Business,0.5072122208263653
Library,0.5004189077690124
Utility,0.5032319036873583
Multimedia,0.5076121688569681
Diverse,0.4886497955303639
Non-diverse,0.4900985073763877
